COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE,VERIFIED LOCATION,REGION,Georeference
Unknown,Cattaraugus,Allegany,31009700000000,KC 110,UN,NL,-78.493,42.006908,NO,9,POINT (-78.493 42.006908)
Unknown,Allegany,Bolivar,31003700000000,Szathmary D 46,UN,NL,-78.07743,42.072849,NO,9,POINT (-78.07743 42.072849)
Unknown,Cattaraugus,Allegany,31009700000000,KC 963,UN,NL,-78.54493,42.004032,NO,9,POINT (-78.54493 42.004032)
Unknown,Cattaraugus,Allegany,31009700000000,KC 184,UN,NL,-78.5023,42.015854,NO,9,POINT (-78.5023 42.015854)
"Phillips, Shawn P.",Allegany,Bolivar,31003600000000,Millard Estate 2,UL,OD,-78.17782,42.04648,YES,9,POINT (-78.17782 42.04648)
Unknown,Allegany,Bolivar,31003700000000,Root K 2,UN,NL,-78.07398,42.05891,NO,9,POINT (-78.07398 42.05891)
Unknown,Allegany,Wirt,31003700000000,Jakima S 5,UN,NL,-78.14276,42.09362,NO,9,POINT (-78.14276 42.09362)
Unknown,Cattaraugus,Allegany,31009700000000,KC 173,UN,NL,-78.50038,42.019669,NO,9,POINT (-78.50038 42.019669)
Pulaski Gas & Oil,Oswego,Richland,31075000000000,Brown 0,UM,GD,-76.1767,43.57545,NO,7,POINT (-76.1767 43.57545)
Donavan Construction,Steuben,Bath,31101000000000,Whitcomb 1,UL,GD,-77.23371,42.313,NO,8,POINT (-77.23371 42.313)
Ontario Gas,Ontario,West Bloomfield,31069000000000,Lee 1,UM,GD,-77.52099,42.85645,NO,8,POINT (-77.52099 42.85645)
Unknown,Allegany,Bolivar,31003700000000,Dunn P 108,UM,NL,-78.15704,42.05851,NO,9,POINT (-78.15704 42.05851)
Crown Oil,Livingston,West Sparta,31051000000000,Northanberg Knappenburg 2,UL,GW,-77.74845,42.594403,YES,8,POINT (-77.74845 42.594403)
NYS Dept. of Transportation,Allegany,Bolivar,31003700000000,Rte 417 10,UM,OD,-78.13095,42.07081,NO,9,POINT (-78.13095 42.07081)
Unknown,Cattaraugus,Carrollton,31009100000000,Allegany State Park 156,UN,GD,-78.6442,42.0594,NO,9,POINT (-78.6442 42.0594)
Unknown,Cattaraugus,Allegany,31009700000000,KC 555,UN,NL,-78.52525,42.005264,NO,9,POINT (-78.52525 42.005264)
Pulaski Gas & Oil,Oswego,Richland,31075000000000,Stewart 3,UL,GD,-76.16605,43.57104,NO,7,POINT (-76.16605 43.57104)
Unknown,Monroe,Riga,31055100000000,Robertson,UM,GD,-77.8841,43.08793,NO,8,POINT (-77.8841 43.08793)
Unknown,Allegany,Bolivar,31003600000000,Phillips Farm 47,UL,IW,-78.10968,42.084416,YES,9,POINT (-78.10968 42.084416)
F.E. Petroleum Corp.,Genesee,Elba,31037100000000,Austin,UM,DW,-78.15201,43.08525,NO,8,POINT (-78.15201 43.08525)
Unknown,Allegany,Wirt,31003700000000,Webb E 37,UM,NL,-78.14903,42.098221,NO,9,POINT (-78.14903 42.098221)
Unknown,Allegany,Wirt,31003700000000,Crockett D 86,UN,NL,-78.17684,42.085243,NO,9,POINT (-78.17684 42.085243)
Unknown,Allegany,Bolivar,31003700000000,OR 11,UM,NL,-78.09031,42.064697,NO,9,POINT (-78.09031 42.064697)
Unknown,Allegany,Bolivar,31003700000000,PYR 90,UM,NL,-78.17884,42.086613,NO,9,POINT (-78.17884 42.086613)
NYS Dept. of Transportation,Allegany,Bolivar,31003600000000,Rte 417 16,UN,OD,-78.13478,42.068224,NO,9,POINT (-78.13478 42.068224)
Unknown,Cattaraugus,Allegany,31009700000000,KC 50,UN,NL,-78.48735,42.02235,NO,9,POINT (-78.48735 42.02235)
Moore Producing Co.,Allegany,Bolivar,31003600000000,Curtis Farm U1,UL,OD,-78.19047,42.07494,YES,9,POINT (-78.19047 42.07494)
Unknown,Cattaraugus,Allegany,31009700000000,KC 390,UM,NL,-78.51971,42.015545,NO,9,POINT (-78.51971 42.015545)
Unknown,Allegany,Alma,31003700000000,Root F 10,UN,NL,-78.05081,42.060753,NO,9,POINT (-78.05081 42.060753)
Moore Producing Co.,Allegany,Bolivar,31003700000000,Curtis Farm 26,UL,IW,-78.18046,42.08032,NO,9,POINT (-78.18046 42.08032)
Unknown,Cattaraugus,Allegany,31009700000000,KC 723,UN,NL,-78.53069,42.005939,NO,9,POINT (-78.53069 42.005939)
Tioga Utilities,Tioga,Candor,31107000000000,Miller C 1,UN,DW,-76.25114,42.19335,NO,7,POINT (-76.25114 42.19335)
Unknown,Cattaraugus,Allegany,31009700000000,KC 285,UN,NL,-78.514,42.015312,NO,9,POINT (-78.514 42.015312)
NYS Natural Gas Corp.,Steuben,Troupsburg,31101000000000,Hammond 1,UL,GD,-77.56315,42.00619,YES,8,POINT (-77.56315 42.00619)
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 68,UN,NL,-78.15038,42.068386,NO,9,POINT (-78.15038 42.068386)
"Republic Light, Heat & Power",Genesee,Pavilion,31037000000000,Bradley 1,UM,GD,-78.04551,42.93447,NO,8,POINT (-78.04551 42.93447)
